timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1722459600,01.08.2024 00:00,1.35,0.0,0.001,0.017,0.0374,0.007,0.004,0.0004,0.001
1722463200,01.08.2024 01:00,1.36,0.0,0.001,0.016,0.0327,0.008,0.004,0.0002,0.001
1722466800,01.08.2024 02:00,1.36,0.0,0.0,0.014,0.0317,0.005,0.003,0.0003,0.0009
1722470400,01.08.2024 03:00,1.35,0.0,0.0,0.01,0.0356,0.005,0.003,0.0001,0.0009
1722474000,01.08.2024 04:00,1.35,0.0,0.0,0.011,0.0348,0.007,0.004,0.0004,0.0009
1722477600,01.08.2024 05:00,1.36,0.0,0.001,0.019,0.022,0.011,0.006,0.0004,0.001
1722481200,01.08.2024 06:00,1.36,0.0,0.002,0.017,0.0219,0.013,0.008,0.0005,0.0011
1722484800,01.08.2024 07:00,1.37,0.0,0.003,0.015,0.0201,0.012,0.007,0.0003,0.001
1722488400,01.08.2024 08:00,1.37,0.03,0.006,0.016,0.0168,0.014,0.007,0.0007,0.001
1722492000,01.08.2024 09:00,1.35,0.1,0.007,0.018,0.0222,0.014,0.005,0.0006,0.0012
1722495600,01.08.2024 10:00,1.35,0.2,0.005,0.027,0.0238,0.012,0.006,0.0007,0.001
1722499200,01.08.2024 11:00,1.35,0.4,0.008,0.033,0.0363,0.006,0.004,0.0006,0.0012
1722502800,01.08.2024 12:00,1.35,0.37,0.01,0.026,0.0509,0.016,0.008,0.0005,0.0012
1722506400,01.08.2024 13:00,1.34,0.37,0.005,0.024,0.059,0.005,0.003,0.0007,0.0011
1722510000,01.08.2024 14:00,1.33,0.4,0.008,0.024,0.0688,0.003,0.003,0.0006,0.0011
1722513600,01.08.2024 15:00,1.33,0.4,0.008,0.024,0.069,0.014,0.008,0.0007,0.0011
1722517200,01.08.2024 16:00,1.33,0.4,0.006,0.018,0.0791,0.009,0.005,0.0008,0.0011
1722520800,01.08.2024 17:00,1.33,0.33,0.003,0.017,0.0823,0.016,0.006,0.001,
1722524400,01.08.2024 18:00,1.33,0.33,0.001,0.022,0.0779,0.017,0.007,0.0011,
1722528000,01.08.2024 19:00,1.34,0.4,0.004,0.037,0.0587,0.019,0.011,0.0006,
