timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3)
1711040400,21.03.2024 17:00,1.41,0.0,0.004,0.032,0.0982,0.028,0.009,0.0037
1711044000,21.03.2024 18:00,1.42,0.03,0.002,0.038,0.0945,0.024,0.009,0.0031
1711047600,21.03.2024 19:00,1.43,0.1,0.001,0.054,0.0742,0.033,0.011,0.0032
1711051200,21.03.2024 20:00,1.45,0.2,0.004,0.101,0.0316,0.037,0.013,0.0032
1711054800,21.03.2024 21:00,1.45,0.2,0.001,0.099,0.0257,0.046,0.014,0.0034
1711058400,21.03.2024 22:00,1.47,0.2,0.003,0.109,0.0231,0.041,0.013,0.0031
1711062000,21.03.2024 23:00,1.45,0.13,0.0,0.073,0.0652,0.03,0.012,0.003
1711065600,22.03.2024 00:00,1.46,0.1,0.0,0.062,0.0729,0.029,0.013,0.0033
1711069200,22.03.2024 01:00,1.48,0.1,0.0,0.052,0.0782,0.031,0.014,0.0033
1711072800,22.03.2024 02:00,1.59,0.1,0.0,0.043,0.0828,0.031,0.014,0.0029
1711076400,22.03.2024 03:00,1.62,0.1,0.0,0.041,0.082,0.026,0.013,0.0029
1711080000,22.03.2024 04:00,1.54,0.1,0.0,0.039,0.0835,0.027,0.014,0.003
1711083600,22.03.2024 05:00,1.5,0.1,0.0,0.035,0.0847,0.025,0.013,0.0026
1711087200,22.03.2024 06:00,1.51,0.1,0.0,0.042,0.0801,0.026,0.013,0.0025
1711090800,22.03.2024 07:00,1.52,0.13,0.001,0.053,0.0728,0.029,0.016,0.0026
1711094400,22.03.2024 08:00,1.54,0.2,0.006,0.069,0.0655,0.039,0.018,0.0028
1711098000,22.03.2024 09:00,1.55,0.3,0.02,0.084,0.0559,0.046,0.019,0.0043
1711101600,22.03.2024 10:00,1.57,0.3,0.031,0.085,0.0585,0.055,0.021,0.0056
