timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1713160800,15.04.2024 06:00,,0.0,0.004,0.028,,0.009,,,
1713164400,15.04.2024 07:00,,0.0,0.007,0.028,,0.005,,,
1713168000,15.04.2024 08:00,,0.1,0.011,0.031,,0.004,,,
1713171600,15.04.2024 09:00,,0.2,0.021,0.036,,0.006,,,
1713175200,15.04.2024 10:00,,0.1,0.015,0.032,,0.006,,,
1713178800,15.04.2024 11:00,,0.1,0.011,0.03,,0.022,,,
1713182400,15.04.2024 12:00,,0.33,0.012,0.034,,0.026,,,
1713186000,15.04.2024 13:00,,0.3,0.009,0.033,,0.03,,,
1713189600,15.04.2024 14:00,,0.3,0.008,0.03,,0.03,,,
1713193200,15.04.2024 15:00,,0.3,0.007,0.032,,0.035,,,
1713196800,15.04.2024 16:00,,0.3,0.008,0.032,,0.036,,,
1713200400,15.04.2024 17:00,,0.3,0.009,0.03,,0.029,,,
1713204000,15.04.2024 18:00,,0.3,0.009,0.038,,0.027,,,
1713207600,15.04.2024 19:00,,0.37,0.013,0.046,,0.023,,,
1713211200,15.04.2024 20:00,,0.43,0.016,0.057,,0.022,,,
1713214800,15.04.2024 21:00,,0.37,0.008,0.043,,0.015,,,
1713218400,15.04.2024 22:00,,0.3,0.008,0.033,,0.013,,,
1713222000,15.04.2024 23:00,,0.3,0.008,0.032,,0.013,,,
1713225600,16.04.2024 00:00,,0.13,0.005,0.028,,0.013,,,
1713229200,16.04.2024 01:00,,0.13,0.004,0.024,,0.008,,,
1713232800,16.04.2024 02:00,,0.1,0.004,0.023,,0.007,,,
1713236400,16.04.2024 03:00,,0.1,0.003,0.023,,0.005,,,
1713240000,16.04.2024 04:00,,0.1,0.002,0.017,,0.004,,,
1713243600,16.04.2024 05:00,,0.1,0.002,0.015,,0.003,,,
1713247200,16.04.2024 06:00,,0.1,0.003,0.02,,0.003,,,
1713250800,16.04.2024 07:00,,0.1,0.005,0.025,,0.007,,,
1713254400,16.04.2024 08:00,,0.2,0.013,0.033,,0.008,,,
1713258000,16.04.2024 09:00,,0.3,0.019,0.041,,0.01,,,
1713261600,16.04.2024 10:00,,0.27,0.019,0.043,,0.01,,,
1713265200,16.04.2024 11:00,,0.23,0.016,0.039,,0.019,,,
1713268800,16.04.2024 12:00,,0.37,0.021,0.033,,0.021,,,
1713272400,16.04.2024 13:00,,0.4,0.018,0.031,,0.026,,,
1713276000,16.04.2024 14:00,,0.4,0.018,0.035,,0.028,,,
1713279600,16.04.2024 15:00,,0.33,0.016,0.036,,0.033,,,
1713283200,16.04.2024 16:00,,0.37,0.016,0.039,,0.034,,,
1713286800,16.04.2024 17:00,,0.33,0.012,0.038,,0.033,,,
1713290400,16.04.2024 18:00,,0.3,0.009,0.035,,0.032,,,
1713294000,16.04.2024 19:00,,0.3,0.007,0.037,,0.03,,,
1713297600,16.04.2024 20:00,,0.33,0.008,0.046,,0.029,,,
1713301200,16.04.2024 21:00,,0.4,0.008,0.053,,0.029,,,
1713304800,16.04.2024 22:00,,0.4,0.007,0.059,,0.029,,,
1713308400,16.04.2024 23:00,,0.37,0.006,0.06,,0.036,,,
1713312000,17.04.2024 00:00,,0.6,0.022,0.09,,0.038,,,
1713315600,17.04.2024 01:00,,0.5,0.011,0.089,,0.041,,,
1713319200,17.04.2024 02:00,,0.5,0.014,0.089,,0.042,,,
1713322800,17.04.2024 03:00,,0.4,0.008,0.075,,0.034,,,
1713326400,17.04.2024 04:00,,0.3,0.001,0.031,,0.032,,,
1713330000,17.04.2024 05:00,,0.3,0.001,0.027,,0.026,,,
1713333600,17.04.2024 06:00,,0.3,0.006,0.03,,0.025,,,
1713337200,17.04.2024 07:00,,0.37,0.005,0.042,,0.023,,,
1713340800,17.04.2024 08:00,,0.43,0.006,0.045,,0.022,,,
1713344400,17.04.2024 09:00,,0.6,0.025,0.069,,0.021,,,
1713348000,17.04.2024 10:00,,0.53,0.018,0.063,,0.021,,,
1713351600,17.04.2024 11:00,,0.53,0.021,0.073,,0.02,,,
